offset,texto,tamanho_bytes,encoding,texto_traduzido

0x22368,"GROUP, AS AN ADVISOR.",27,shift_jis,
0x22384,ABOLITION PROPOSAL,24,shift_jis,
0x223a0,NUCLEAR WEAPON,20,shift_jis,
0x223b8,NATIONALLY HOSTED,23,shift_jis,
0x223d0,WORLD'S FIRST,19,shift_jis,
0x223e4,"COMMITTEE, THE",20,shift_jis,
0x223fc,1996  ATTENDS THE CANBERRA,26,shift_jis,
0x22418,MAGAZINES.,16,shift_jis,
0x2242c,INFORMATION,17,shift_jis,
0x22440,AND US NAVAL,18,shift_jis,
0x22454,INFORMATION MAGAZINES,27,shift_jis,
0x22470,WRITES FOR ASSORTED,25,shift_jis,
0x2248c,ANALYST.,14,shift_jis,
0x2249c,TO BECOME A FREELANCE,27,shift_jis,
0x224b8,1995  LEAVES THE BUREAU,23,shift_jis,
0x224d0,AGENCY).,14,shift_jis,
0x224e0,(DEFENSE INTELLIGENCE,27,shift_jis,
0x224fc,1992  JOINS THE DIA,19,shift_jis,
0x22510,SHE MOVES TO THE US.,26,shift_jis,
0x2252c,"CLEANUP AT CHERNOBYL,",27,shift_jis,
0x22548,PARTICIPATED IN THE,25,shift_jis,
0x22564,"PARENTS,WHO",17,shift_jis,
0x22578,1990  AFTER LOSING HER,22,shift_jis,
0x22590,CHERNOBYL).,17,shift_jis,
0x225a4,3 KILOMETERS NORTH OF,27,shift_jis,
0x225c0,IN PRYPIAT  (A CITY,26,shift_jis,
0x225dc,POWER PLANT DISASTER,26,shift_jis,
0x225f8,CHERNOBYL NUCLEAR,23,shift_jis,
0x22610,RADIATION FROM THE,24,shift_jis,
0x2262c,WERE SHOWERED BY THE,26,shift_jis,
0x22648,1986  SHE AND HER FAMILY,24,shift_jis,
0x22664,1970s BORN IN UKRAINE.,22,shift_jis,
0x2267c,PROFILE,7,shift_jis,
0x22684,HEIGHT: 166 CM,14,shift_jis,
0x22694,NATIONALITY: UKRAINIAN,22,shift_jis,
0x226ac,AGE: 30,7,shift_jis,
0x226b4,SEX: FEMALE,11,shift_jis,
0x226c0,NAME: NASTASHA ROMANENKO,24,shift_jis,
0x226dc,ROMANENKO,9,shift_jis,
0x226e8,NASTASHA,8,shift_jis,
0x226f4,THOSE OF THE OPPOSITE SEX.,26,shift_jis,
0x22710,NOT TO BE ATTRACTED TO,22,shift_jis,
0x22728,HAS RECEIVED PSYCHOTHERAPY,26,shift_jis,
0x22744,COMBAT TRAINING.,16,shift_jis,
0x22758,THROUGH VR SIMULATION,21,shift_jis,
0x22770,"EXPERIENCE, BUT HAS GONE",24,shift_jis,
0x2278c,SHE HAS NO REAL COMBAT,22,shift_jis,
0x227a4,AS A NOVICE.,17,shift_jis,
0x227b8,2005 JOINS THIS EXERCISE,25,shift_jis,
0x227d4,HEIGHT: 175 CM,14,shift_jis,
0x227e4,NATIONALITY: USA,16,shift_jis,
0x227f8,AGE: 18,7,shift_jis,
0x22800,NAME: MERYL SILVERBURGH,23,shift_jis,
0x22818,SILVERBURGH,11,shift_jis,
0x22824,MERYL,5,shift_jis,
0x2282c,AT PRESIDENT,12,shift_jis,
0x2283c,DARPA,5,shift_jis,
0x22844,OFFICE CHIEF,12,shift_jis,
0x22854,BIG BOSS,8,shift_jis,
0x22860,OCELOT,6,shift_jis,
0x22868,REVOLVER,8,shift_jis,
0x22874,VULCAN RAVEN,12,shift_jis,
0x22884,OCTOPUS,7,shift_jis,
0x2288c,DECOY,5,shift_jis,
0x22894,SNIPER WOLF,11,shift_jis,
0x228a0,MANTIS,6,shift_jis,
0x228a8,PSYCHO,6,shift_jis,
0x228b0,A NATIVE.,9,shift_jis,
0x228bc,SPEAKS ARABIC LIKE,18,shift_jis,
0x228d0,"FRENCH, MALAY, ETC.",19,shift_jis,
0x228e4,"SUCH AS ENGLISH, SPANISH,",25,shift_jis,
0x22900,FLUENT IN 7 LANGUAGES,21,shift_jis,
0x22918,HAS AN IQ OF 180.,17,shift_jis,
0x2292c,FOX-HOUND.,16,shift_jis,
0x22940,LEADER OF THE NEW,23,shift_jis,
0x22958,BECOMES BATTLE,20,shift_jis,
0x22970,2000  JOINS FOX-HOUND and,25,shift_jis,
0x2298c,COUNTRY.,14,shift_jis,
0x2299c,RETURNS TO HIS,20,shift_jis,
0x229b4,GOVERNMENT AND,20,shift_jis,
0x229cc,1994  RESCUED BY THE US,23,shift_jis,
0x229e4,A MIA.,15,shift_jis,
0x229f4,IRAQ AND WAS DECLARED,27,shift_jis,
0x22a10,HE BECOMES A POW OF,25,shift_jis,
0x22a2c,DURING THE MISSION,24,shift_jis,
0x22a48,THE GULF WAR.,19,shift_jis,
0x22a5c,MISSILE LANCHERS IN,25,shift_jis,
0x22a78,THE MOBILE SCUD,26,shift_jis,
0x22a94,FORCE SAS TO DESTROY,26,shift_jis,
0x22ab0,BRITISH SPECIAL,21,shift_jis,
0x22ac8,1990  WORKS FOR THE,19,shift_jis,
0x22adc,UPON BIRTH.,17,shift_jis,
0x22af0,MOVED TO ENGLAND,22,shift_jis,
0x22b08,1970s BORN IN THE US.,21,shift_jis,
0x22b20,HEIGHT: 183 CM,14,shift_jis,
0x22b30,NATIONALITY: BRITISH(USA),25,shift_jis,
0x22b4c,AGE: 30s,8,shift_jis,
0x22b58,SEX: MALE,9,shift_jis,
0x22b64,NAME: UNKNOWN,13,shift_jis,
0x22b74,CODE NAME: LIQUID SNAKE,23,shift_jis,
0x22b8c,LIQUID SNAKE,12,shift_jis,

0x58bba,0The nuclear weapons disposal facility on Shadow,49,shift_jis,
0x58bec,-Moses Island in Alaska's Fox Archipelago was,46,shift_jis,
0x58c1b,/captured by terrorists. They're demanding that,48,shift_jis,
0x58c4c,"0the US government turn over the remains of ""The",49,shift_jis,
0x58c7e,"0Legendary Soldier"" Big Boss and they are saying",49,shift_jis,
0x58cb0,"3that if their demands are not met within 24 hours,",52,shift_jis,
0x58ce5,1they'll launch a nuclear weapon. Asked by the US,50,shift_jis,
0x58d18,"0government to settle the situation, former FOX-",49,shift_jis,
0x58d4a,)HOUND member Solid Snake succeeds in the,42,shift_jis,
0x58d75,7infiltration of the nuclear weapons disposal facility.,56,shift_jis,
0x58dae,+Now he must try to rescue the DARPA Chief.,44,shift_jis,
0x58de6,@I`EVoVoPePlY¿PrYÅPd,37,latin-1,
0x58ea8,"-government to turn over the remains of "" The",46,shift_jis,
0x58f71,"4government to settle the situation, Snake overhears",53,shift_jis,
0x58fa7,2the enemies' conversation that the DARPA Chief is,51,shift_jis,
0x58fdb,5locked up in the cell on the first floor basement of,54,shift_jis,
0x59012,the tank hanger.,18,shift_jis,
0x59060,2Snake gets in touch with the DARPA Chief. But the,51,shift_jis,
0x59094,4Chief says that the terrorists found out one of the,53,shift_jis,
0x590ca,-two detonation codes necessary to launch the,46,shift_jis,
0x590f9,2nuclear warhead. The Chief tells Snake that it is,51,shift_jis,
0x5912d,4possible to deactivate the detonation code by using,53,shift_jis,
0x59163,0the detonation code emergency override key held,49,shift_jis,
0x59195,+by ArmsTech President Kenneth Baker who is,44,shift_jis,
0x591c2,"2trapped on the 2nd floor basement. However, right",51,shift_jis,
0x591f6,"7after that, he dies from a heart attack right in front",56,shift_jis,
0x5922f,of Snake...,13,shift_jis,
0x5924b,@`VoVoPePlPrPd,37,latin-1,
0x59411,"/after that, he dies from a heart attack. Snake",48,shift_jis,
0x59442,1cooperates with a female soldier that he met and,50,shift_jis,
0x59475,-escapes the cell and heads for the 2nd floor,46,shift_jis,
0x594a4,-basement of the tank hangar to rescue Baker.,46,shift_jis,
0x594db,@`}VoVoPePlPrPd,37,latin-1,
0x595d8,.possible to deactivate the detonation code by,47,shift_jis,
0x59608,1using the detonation code emergency override key,50,shift_jis,
0x5963b,0held by ArmsTech President Kenneth Baker who is,49,shift_jis,
0x596a1,"4after that, he dies from a heart attack. Snake must",53,shift_jis,
0x596d7,0try to rescue Baker who is trapped on the other,49,shift_jis,
0x59709,+side of the cemented wall on the 2nd floor,44,shift_jis,
0x59736,basement of the tank hangar.,30,shift_jis,
0x598bd,"3held by ArmsTech President Kenneth Baker. However,",52,shift_jis,
0x598f2,"5right after that, he dies from a heart attack. Snake",54,shift_jis,
0x59929,/must try to rescue Baker who is trapped on the,48,shift_jis,
0x5995a,1other side of the cemented wall on the 2nd floor,50,shift_jis,
0x599e7,+Snake saves President Baker from FOX-HOUND,44,shift_jis,
0x59a14,"0member Revolver Ocelot. However, he has already",49,shift_jis,
0x59a46,/given away the detonation code. The only thing,48,shift_jis,
0x59a77,3that can stop the launch of the nuclear warhead is,52,shift_jis,
0x59ade,"/by Meryl, or Metal Gear chief engineer Dr. Hal",48,shift_jis,
0x59b0f,Emmerich.,11,shift_jis,
0x59b1b,"/After talking to Snake, Baker also dies from a",48,shift_jis,
0x59b4c,2heart attack. Snake refers to the Codec frequency,51,shift_jis,
0x59b80,0on the back of the CD case and tries contacting,49,shift_jis,
0x59bb2,Meryl.,8,shift_jis,
0x59bf9,"-Snake rescues Baker, but just like the DARPA",46,shift_jis,
0x59c28,"3chief, he dies from a heart attack. The terrorists",52,shift_jis,
0x59c5d,.already know Baker's detonation code as well.,47,shift_jis,
0x59c8d,/The only thing that can stop the launch of the,48,shift_jis,
0x59cbe,1nuclear warhead is the detonation code emergency,50,shift_jis,
0x59cf1,"0override key held by Meryl, or Metal Gear chief",49,shift_jis,
0x59d23,"/engineer Dr. Hal Emmerich. Snake, successfully",48,shift_jis,
0x59d54,"3contacting Meryl, has decided to go to the nuclear",52,shift_jis,
0x59d89,0warhead storage building to rescue Dr. Emmerich,49,shift_jis,
0x59dbb,3as soon as Meryl opens the door on the first floor,52,shift_jis,
0x59df0,!to the north of the tank hangar.,34,shift_jis,
0x59fa9,"4contacting Meryl, opens the door on the first floor",53,shift_jis,
0x59fdf,/to the north of the tank hangar with her help.,48,shift_jis,
0x5a010,".To rescue Dr. Emmerich, Snake goes out of the",47,shift_jis,
0x5a040,-cargo exit and heads for the nuclear warhead,46,shift_jis,
0x5a06f,storage building up north.,28,shift_jis,
0x5a097,@j`fVoVoPePlPrPd,37,latin-1,
0x5a1f1,engineer Dr. Emmerich.,24,shift_jis,
0x5a20a,"5Snake, with the help of Meryl, heads for the nuclear",54,shift_jis,
0x5a241,1warhead storage building to rescue Dr. Emmerich.,50,shift_jis,
0x5a274,"1However, the valley which is the only way to get",50,shift_jis,
0x5a2a7,0there turned out to be a minefield. Snake tries,49,shift_jis,
0x5a2d9,to go across the minefield.,29,shift_jis,
0x5a4df,"2In the meantime, Snake finds out of the existence",51,shift_jis,
0x5a513,3of a minefield through a call from a man who calls,52,shift_jis,
0x5a548,1himself Deepthroat. Snake tries to go across the,50,shift_jis,
0x5a57b,minefield.,12,shift_jis,
0x5a5c0,.Snake must try to rescue the Metal Gear chief,47,shift_jis,
0x5a5f0,2engineer Dr. Hal Emmerich to find out how to stop,51,shift_jis,
0x5a624,"2the nuclear launch. With the help of Meryl, Snake",51,shift_jis,
0x5a658,",gets through the tank hangar to the valley.",45,shift_jis,
0x5a686,*However FOX-HOUND member Vulcan Raven and,43,shift_jis,
0x5a6b2,.his M1 tank were waiting for him. Dodging the,47,shift_jis,
0x5a6e2,"3attack of the tank cannon and destroying the tank,",52,shift_jis,
0x5a717,+Snake succeeds in infiltrating the nuclear,44,shift_jis,
0x5a744,/warhead storage building. He heads for the 2nd,48,shift_jis,
0x5a775,.floor basement where Dr. Emmerich is trapped.,47,shift_jis,
0x5a7e3,-Snake must try to rescue of Metal Gear chief,46,shift_jis,
0x5a846,0the nuclear launch. Snake gets to the 2nd floor,49,shift_jis,
0x5a878,1basement of the nuclear warhead storage building,50,shift_jis,
0x5a8ab,/where Dr. Emmerich is trapped. However a floor,48,shift_jis,
0x5a8dc,4with high voltage electric currents blocks his way.,53,shift_jis,
0x5a912,/The electric current is controlled by the high,48,shift_jis,
0x5a943,"2voltage switchboard, which is in the northwest of",51,shift_jis,
0x5a977,/the nuclear warhead storage building 2nd floor,48,shift_jis,
0x5a9a8,/basement. He must destroy that to proceed. He,48,shift_jis,
0x5a9d9,)needs a remote control missile to do so.,42,shift_jis,
0x5ac04,2basement. He must destroy that to proceed. Snake,51,shift_jis,
