offset,texto,tamanho_bytes,encoding,texto_traduzido
0x39f0,"It's been a long time, Snake.",29,shift_jis,
0x3a20,"I should have known you|were behind this, Colonel.",51,latin-1,
0x3a64,"That's no way to greet|an old war buddy, Snake.",48,latin-1,
0x3aa8,What do you want from me?,25,shift_jis,
0x3ad4,I just invited you here|so we could have a talk.,49,latin-1,
0x3b18,Invited!?,9,shift_jis,
0x3b34,That's what you call sending|armed soldiers after me?,54,latin-1,
0x3b7c,Sorry if they were a little|rough with you.,44,latin-1,
0x3bbc,But we've got a serious|situation here.,40,latin-1,
0x3bf8,Only you can get us out of it.,30,shift_jis,
0x3c28,I'm retired from FOX-HOUND.,27,shift_jis,
0x3c54,You're not my commander anymore,31,shift_jis,
0x3c84,and I don't have to take orders|from you or anyone else.,57,latin-1,
0x3cd0,You will take these orders.,27,shift_jis,
0x3cfc,I know it.,10,shift_jis,
0x3d18,Excuse me...,12,shift_jis,
0x3d38,Who's this?,11,shift_jis,
0x3d54,Dr. Naomi Hunter.,17,shift_jis,
0x3d78,She's chief of FOX-HOUND's|medical staff,41,latin-1,
0x3db4,and an expert in gene therapy.,30,shift_jis,
0x3de4,Are you military?,17,shift_jis,
0x3e08,"No, civilian.",13,shift_jis,
0x3e28,I've been sent here from ATGC.,30,shift_jis,
0x3e58,"Pleasure to meet you, Snake.",28,shift_jis,
0x3e88,"Don't worry,",12,shift_jis,
0x3ea8,this injection won't hurt a bit.,32,shift_jis,
0x3edc,What's the shot for?,20,shift_jis,
0x3f04,What's wrong?,13,shift_jis,
0x3f24,You don't like shots?,21,shift_jis,
0x3f4c,"Snake, listen up.",17,shift_jis,
0x3f70,It all went down five hours ago.,32,shift_jis,
0x3fa4,"Heavily armed soldiers occupied|Shadow Moses Island,",53,latin-1,
0x3fec,a remote island off|the coast of Alaska.,41,latin-1,
0x4028,What soldiers?,14,shift_jis,
0x4048,Next-Generation Special Forces,30,shift_jis,
0x4078,led by members of|Unit FOX-HOUND.,34,latin-1,
0x40ac,They've presented Washington|with a single demand,50,latin-1,
0x40f0,"and they say that if it isn't met,",34,shift_jis,
0x4124,they'll launch a nuclear weapon.,32,shift_jis,
0x4158,A nuclear weapon?,17,shift_jis,
0x417c,I'm afraid so.,14,shift_jis,
0x419c,"You see, the island is the site of",34,shift_jis,
0x41d0,a secret nuclear weapons|disposal facility.,44,latin-1
