offset	texto	tamanho_bytes	encoding	texto_traduzido
0xe	!Ê÷;	5	latin-1	!Ê÷;
0x37	J奉9ﾃ	5	shift_jis	J奉9ﾃ
0x3e	Be careful, Snake. That air lock is set#Nwith infrared sensors.	65	latin-1	Cuidado, Snake. Essa eclusa está#Nequipada com sensores infravermelhos.
0xa2	v奉9ﾃ	5	shift_jis	v奉9ﾃ
0xa9	You probably can't see them with your#Nnaked eyes, but there are infrared#Nbeams coming out of that wall.	109	latin-1	Você provavelmente não consegue vê-los#Na olho nu, mas há feixes infravermelhos#Nsaindo daquela parede.
0x11a	p奉9ﾃ	5	shift_jis	p奉9ﾃ
0x121	Touch any one of them, and the doors#Nwill seal off and the place will be#Nflooded with poison gas.	103	latin-1	Toque em qualquer um deles e as portas#Nse fecharão e o local será inundado#Ncom gás venenoso.
0x18c	P奉9ﾃ	5	shift_jis	P奉9ﾃ
0x193	Somehow you've got to get through#Nwithout setting off those sensors.	71	latin-1	De alguma forma você precisa passar#Nsem ativar esses sensores.
0x230	d奉9ﾃ	5	shift_jis	d奉9ﾃ
0x237	I think you might be able to fool the#Ntank's electronic systems with a Chaff#NGrenade.	91	latin-1	Acho que você pode enganar os sistemas#Neletrônicos do tanque com uma Granada#NChaff.
0x2e8	é111	9	latin-1	é111
0x319	G{1 1	10	latin-1	G{1 1
0x32d	ô1 1111	13	latin-1	ô1 1111
0x34c	I奉9ﾃ	5	shift_jis	I奉9ﾃ
0x353	You're incredible, Snake! You#Nsinglehandedly beat an M1 tank.	64	latin-1	Você é incrível, Snake! Derrotou#Num tanque M1 sozinho.
0x397	!Êr(	5	latin-1	!Êr(
0x39d	No big deal. But I'll bet that VR#Nsimulator you trained on didn't have#Nany scenarios that put you one on one#Nagainst a tank, did it?	142	latin-1	Sem problemas. Mas aposto que o#Nsimulador VR em que treinou não tinha#Ncenários que te colocassem sozinho#Ncontra um tanque, não é?
0x436	No. But there was no scenario where#NI had to work alone with a special#Nforces soldier against a group of#Nterrorists either.	132	latin-1	Não. Mas também não havia cenário onde#Neu tivesse que trabalhar sozinho com um#Nsoldado de forças especiais contra um#Ngrupo de terroristas.
0x4be	f!Ê÷;	5	latin-1	f!Ê÷;
0x4c4	In real life, things never go the way#Nyou expect them to...especially on#Na battlefield.	94	latin-1	Na vida real, as coisas nunca saem#Ncomo esperamos...especialmente#Nnum campo de batalha.
0x52d	I'm already holed up in the Warhead#NStorage Building. It looks like#NDr. Emmerich is still fine, but I'm not#Nsure for how much longer...	144	latin-1	Já estou entocado no Edifício de#NArmazenamento de Ogivas. Parece que o#NDr. Emmerich ainda está bem, mas não#Nsei por quanto tempo mais...
0x5cd	!奉9ﾃ	5	shift_jis	!奉9ﾃ
0x5d4	Hurry up this way, okay?	24	shift_jis	Se apresse por aqui, ok?
0x5f1	0é11	12	latin-1	0é11
0x5ff	zu0%?	16	latin-1	zu0%?
0x622	é1111	11	latin-1	é1111
0x652	G奉9ﾃ	5	shift_jis	G奉9ﾃ
0x659	Deepthroat? No, I don't know anyone#Nwho calls himself that.	62	latin-1	Deepthroat? Não, não conheço ninguém#Nque se chame assim.
0x6a2	I see...	8	shift_jis	Entendo...
0x6ae	.奉9ﾃ	5	shift_jis	.奉9ﾃ
0x6b5	I wonder why he's trying to help you.	37	shift_jis	Me pergunto por que ele quer te ajudar.
0x6e5	I have no idea.	15	shift_jis	Não faço idéia.
0x6fe	A trap?	8	shift_jis	Armadilha?
0x70a	G!Ê÷;	5	latin-1	G!Ê÷;
0x711	Could be. But for the time being,#NI'll have to trust him...	62	latin-1	Pode ser. Mas por enquanto,#Nvou ter que confiar nele...
0x77c	5!Ê÷;	5	latin-1	5!Ê÷;
0x783	Where are the remote controlled#Nmissiles?	44	latin-1	Onde estão os mísseis#Ncontrolados remotamente?
0x7e6	t奉9ﾃ	5	shift_jis	t奉9ﾃ
0x7ec	I think the remote controlled missiles#Nare on the 1st floor basement of the#NWarhead Storage Building.	108	latin-1	Acho que os mísseis controlados#Nremotos estão no 1º subsolo do#NEdifício de Armazenamento de Ogivas.
0x864	G1 1	7	latin-1	G1 1
0x87d	b奉9ﾃ	5	shift_jis	b奉9ﾃ
0x884	Dr. Emmerich is probably being held#Nin his lab in the northeast part of that#Nfloor.	89	latin-1	O Dr. Emmerich provavelmente está#Nsendo mantido no laboratório na parte#Nnordeste daquele andar.
0x8e1	K奉9ﾃ	5	shift_jis	K奉9ﾃ
0x8e8	They've flooded the area with gas to#Nprevent him from escaping.	66	latin-1	Inundaram a área com gás para#Nimpedir que ele escape.
0x94d	y奉9ﾃ	5	shift_jis	y奉9ﾃ
0x954	But there should be a gas mask on#Nthat floor too. If you use it, you'll be#Nable to make it through easily.	112	latin-1	Mas deve haver uma máscara de gás#Nnaquele andar também. Se usá-la,#Nconseguirá passar facilmente.
0x9d9	ô1 11	9	latin-1	ô1 11
0x9f4	B奉9ﾃ	5	shift_jis	B奉9ﾃ
0x9fb	Snake, Dr. Emmerich is being held#Njust north of there.	57	latin-1	Snake, o Dr. Emmerich está sendo#Nmantido ao norte dali.
0xa37	@;08	13	latin-1	@;08
0xa4e	G{1 1	10	latin-1	G{1 1
0xa8a	W奉9ﾃ	5	shift_jis	W奉9ﾃ
0xa91	Dr. Emmerich should be in the#Nlaboratory area in the 2nd floor#Nbasement.	78	latin-1	O Dr. Emmerich deve estar na área#Ndo laboratório no 2º subsolo.
0xafc	He should be in the research lab#Nin the 2nd floor basement of the#NNuclear Warhead Storage Building#Nto the north.	121	latin-1	Ele deve estar no laboratório de#Npesquisa no 2º subsolo do Edifício#Nde Armazenamento de Ogivas Nucleares#Nao norte.
0xba4	9!Ê÷;	5	latin-1	9!Ê÷;
