offset	tamanho_bytes	encoding	texto	texto_traduzido	tamanho_bytes_traduzido
0x1fc	61	latin-1	The nuclear weapons disposal|facility on Shadow Moses Island	A instalacao de descarte de armas|nucleares na Ilha Shadow Moses	64
0x24c	27	shift_jis	in Alaska's Fox Archipelago	no Arquipelago Fox do Alasca	28
0x278	60	latin-1	was attacked and captured by|Next-Generation Special Forces	foi atacada e capturada por|Forcas Especiais de Nova Geracao	63
0x2c8	35	latin-1	being led by members|of FOX-HOUND.	lideradas por membros|do FOX-HOUND.	38
0x2fc	72	latin-1	They're demanding that the government|turn over the remains of Big Boss	Eles exigem que o governo|entregue os restos mortais do Big Boss	69
0x358	64	latin-1	and they say that if their demands|are not met within 24 hours,	e dizem que se suas demandas|nao forem atendidas em 24 horas,	65
0x3ac	32	shift_jis	they'll launch a nuclear weapon.	vao lancar uma arma nuclear.	29
0x3e0	35	shift_jis	You'll have two mission objectives.	Vc tera dois objetivos de missao.	36
0x414	53	latin-1	First, you're to rescue DARPA|chief, Donald Anderson	Primeiro, resgatar o chefe da DARPA,|Donald Anderson	54
0x45c	46	latin-1	and the President of ArmsTech,|Kenneth Baker.	e o Presidente da ArmsTech,|Kenneth Baker.	43
0x49c	32	shift_jis	Both are being held as hostages.	Ambos estao sendo mantidos refens.	34
0x4d0	9	shift_jis	Secondly,	Segundo,	8
0x4ec	69	latin-1	you're to investigate whether or not|the terrorists have the ability	vc deve investigar se os terroristas|tem a capacidade	58
0x544	27	shift_jis	to make a nuclear strike...	de fazer um ataque nuclear..	29
0x570	25	shift_jis	and stop them if they do.	e impedi-los se tiverem.	24
0x59c	28	shift_jis	What's the insertion method?	Qual o metodo de insercao?	27
0x5cc	45	latin-1	We'll approach the disposal facility|by sub.	Vamos nos aproximar da instalacao|por submarino.	49
0x60c	9	shift_jis	And then?	E depois?	9
0x628	55	latin-1	We'll launch a one-man SDV|(swimmer delivery vehicle).	Vamos lancar um SDV (veiculo subaquatico)|monoposto.	68
0x670	54	latin-1	After the SDV gets as close as it can,|dispose of it.	Depois que o SDV chegar o mais perto|possivel, descarte-o.	58
0x6b8	34	shift_jis	From there on you'll have to swim.	Dali em diante vc tera que nadar.	35
0x64495c	41	latin-1	High Tech Special Forces Unit|FOX-HOUND.	Unidade de Forcas Especiais|FOX-HOUND.	50
0x644998	19	shift_jis	Your former unit...	Sua antiga unidade..	20
0x6449bc	37	shift_jis	...and one that I was a commander of.	..e uma da qual eu fui comandante.	35
0x6449f4	26	shift_jis	So they're still around...	Entao eles ainda existem..	28
0x644a20	72	latin-1	There are six members of FOX-HOUND|involved in this terrorist activity.	Ha seis membros do FOX-HOUND|envolvidos nesta atividade terrorista.	71
0x644a7c	52	latin-1	Psycho Mantis,|with his powerful psychic abilities.	Psycho Mantis,|com seus poderosos poderes psiquicos.	54
0x644ac4	52	latin-1	Sniper Wolf,|the beautiful and deadly sharpshooter.	Sniper Wolf,|a bela e mortal atiradora de elite.	54
0x644b0c	35	latin-1	Decoy Octopus,|master of disguise.	Decoy Octopus,|mestre do disfarce.	33
0x644b40	32	latin-1	Vulcan Raven,|giant and shaman.	Vulcan Raven,|gigante e xama.	30
0x7a8120	20	shift_jis	And Revolver Ocelot,	E Revolver Ocelot,	18
0x7a8148	57	latin-1	specialist in interrogation|and a formidable gunfighter.	especialista em interrogatorio|e um formidavel pistoleiro.	57
0x7a8194	60	latin-1	And finally, in charge of them...|FOX-HOUND's squad leader,	E finalmente, no comando deles..|lider do esquadrao FOX-HOUND,	62
0x7a81e4	13	shift_jis	Liquid Snake.	Liquid Snake.	13
0x7a8204	13	shift_jis	Liquid Snake?	Liquid Snake?	13
0x7a8224	40	latin-1	The man with the same code|name as you.	O homem com o mesmo|codinome que vc.	42
0x7a8260	63	latin-1	The nuclear weapons disposal facility|covers the whole island.	A instalacao de descarte de armas nucleares|cobre toda a ilha.	68
