id	offset	encoding	tamanho_bytes	texto	texto_traduzido	diferenca_bytes
1	0xe	latin-1	5	!Ê÷;		-5
2	0x37	shift_jis	5	J奉9ﾃ		-5
3	0x3e	latin-1	65	Be careful, Snake. That air lock is set#Nwith infrared sensors.	Cuidado, Snake. Essa eclusa#Nequipada sensores infravermelhos	-4
4	0xa2	shift_jis	5	v奉9ﾃ		-5
5	0xa9	latin-1	109	You probably can't see them with your#Nnaked eyes, but there are infrared#Nbeams coming out of that wall.	Vc provavelmente nao consegue ve-los#Na olho nu, mas ha feixes infravermelhos#Nsaindo daquela parede	-9
6	0x11a	shift_jis	5	p奉9ﾃ		-5
7	0x121	latin-1	103	Touch any one of them, and the doors#Nwill seal off and the place will be#Nflooded with poison gas.	Toque em qualquer um deles e as portas#Nse fecharao e o local sera inundado#Ncom gas venenoso	-10
8	0x18c	shift_jis	5	P奉9ﾃ		-5
9	0x193	latin-1	71	Somehow you've got to get through#Nwithout setting off those sensors.	De alguma forma vc precisa passar#Nsem ativar esses sensores	-11
10	0x230	shift_jis	5	d奉9ﾃ		-5
11	0x237	latin-1	91	I think you might be able to fool the#Ntank's electronic systems with a Chaff#NGrenade.	Acho q vc pode enganar os sistemas#Neletronicos do tanque com uma Granada#NChaff	-11
12	0x2e8	latin-1	9	é111		-9
13	0x319	latin-1	10	G{1 1		-10
14	0x32d	latin-1	13	ô1 1111		-13
15	0x34c	shift_jis	5	I奉9ﾃ		-5
16	0x353	latin-1	64	You're incredible, Snake! You#Nsinglehandedly beat an M1 tank.	Vc eh incrivel, Snake! Derrotou#Num tanque M1 sozinho	-11
17	0x397	latin-1	5	!Êr(		-5
18	0x39d	latin-1	142	No big deal. But I'll bet that VR#Nsimulator you trained on didn't have#Nany scenarios that put you one on one#Nagainst a tank, did it?	Sem problemas. Mas aposto q o#Nsimulador VR em q treinou nao tinha#Ncenarios q te colocassem sozinho#Ncontra um tanque, nao eh?	-15
