id	encoding	tamanho_bytes	tamanho_bytes_traducao	offset	texto	texto_traduzido	diferenca_bytes	tem_overflow	percentual_diferenca
1	shift_jis	49	54	0x58bba	0The nuclear weapons disposal facility on Shadow	0A instalacao de descarte de armas em Shadow	-5	True	10.2
2	shift_jis	46	46	0x58bec	-Moses Island in Alaska's Fox Archipelago was	-Moses no Arquipelago Fox do Alasca foi	0	False	0.0
3	shift_jis	48	46	0x58c1b	/captured by terrorists. They're demanding that	/capturada por terroristas.Eles tao exigindo q	-2	False	-4.2
4	shift_jis	49	45	0x58c4c	"0the US government turn over the remains of ""The"	0o governo americano entregue os restos de O	-5	False	-8.2
5	shift_jis	49	46	0x58c7e	"0Legendary Soldier"" Big Boss and they are saying"	0Soldado Lendario Big Boss e eles tao dizendo	-4	False	-6.1
6	shift_jis	52	48	0x58cb0	3that if their demands are not met within 24 hours,	3q se suas exigencias nao forem atendidas em 24h,	-4	False	-7.7
7	shift_jis	50	45	0x58ce5	1they'll launch a nuclear weapon. Asked by the US	1eles vao lancar uma arma nuclear.Pedido pelo	-5	False	-10.0
8	shift_jis	49	45	0x58d18	0government to settle the situation, former FOX-	0governo americano p/ resolver a situacao ex-	-4	False	-8.2
9	shift_jis	42	41	0x58d4a	)HOUND member Solid Snake succeeds in the	)membro FOX-HOUND. Snake se infiltra	-1	False	-2.4
10	shift_jis	56	58	0x58d75	7infiltration of the nuclear weapons disposal facility.	7na instalacao de descarte de armas nucleares.	0	True	3.6
11	shift_jis	44	49	0x58dae	+Now he must try to rescue the DARPA Chief.	+Agora ele deve resgatar o Chefe da DARPA.	-2	True	11.4
12	latin-1	37	20	0x58de6	@I`EVoVoPePlY¿PrYÅPd	@I`EVoVoPePlY¿PrYÅPd	-17	False	-45.9
13	shift_jis	46	36	0x58ea8	"-government to turn over the remains of "" The"	-governo a entregar os restos de  O	-11	False	-21.7
14	shift_jis	53	44	0x58f71	4government to settle the situation, Snake overhears	4governo p/ resolver a situacao Snake escuta	-9	False	-17.0
15	shift_jis	51	48	0x58fa7	2the enemies' conversation that the DARPA Chief is	2a conversa dos inimigos q o Chefe da DARPA esta	-3	False	-5.9
16	shift_jis	54	40	0x58fdb	5locked up in the cell on the first floor basement of	5trancado na cela no subsolo-1 do hangar	-14	False	-25.9
17	shift_jis	18	18	0x59012	the tank hanger.	de tanques.	0	False	0.0
18	shift_jis	51	50	0x59060	2Snake gets in touch with the DARPA Chief. But the	2Snake entra em contato com o Chefe da DARPA.Mas o	-1	False	-2.0
19	shift_jis	53	46	0x59094	4Chief says that the terrorists found out one of the	4Chefe diz q os terroristas descobriram um dos	-7	False	-13.2
20	shift_jis	46	50	0x590ca	-two detonation codes necessary to launch the	-dois codigos necessarios p/ lancar a	-9	True	8.7
21	shift_jis	51	42	0x590f9	2nuclear warhead. The Chief tells Snake that it is	2ogiva nuclear.O Chefe conta ao Snake q eh	-9	False	-17.6
22	shift_jis	53	48	0x5912d	4possible to deactivate the detonation code by using	4possivel desativar o codigo de detonacao usando	-5	False	-9.4
23	shift_jis	49	65	0x59163	0the detonation code emergency override key held	0a chave de anulacao de detonacao mantida	16	True	32.7
24	shift_jis	44	49	0x59195	+by ArmsTech President Kenneth Baker who is	+pelo Presidente da ArmsTech Baker q esta	-3	True	11.4
25	shift_jis	51	31	0x591c2	2trapped on the 2nd floor basement. However, right	2preso no subsolo-2.Porem logo	-20	False	-39.2
26	shift_jis	56	56	0x591f6	7after that, he dies from a heart attack right in front	7depois disso ele morre de infarto bem na frente	0	False	0.0
27	shift_jis	13	10	0x5922f	of Snake...	do Snake..	-3	False	-23.1
28	latin-1	37	14	0x5924b	@`VoVoPePlPrPd	@`VoVoPePlPrPd	-23	False	-62.2
29	shift_jis	48	48	0x59411	/after that, he dies from a heart attack. Snake	/depois disso ele morre de infarto.Snake	0	False	0.0
30	shift_jis	50	41	0x59442	1cooperates with a female soldier that he met and	1coopera com uma soldado q ele conheceu e	-9	False	-18.0
31	shift_jis	46	36	0x59475	-escapes the cell and heads for the 2nd floor	-escapa da cela e vai pro subsolo-2	-10	False	-21.7
32	shift_jis	46	40	0x594a4	-basement of the tank hangar to rescue Baker.	-do hangar de tanques p/ resgatar Baker.	-6	False	-13.0
33	latin-1	37	15	0x594db	@`}VoVoPePlPrPd	@`}VoVoPePlPrPd	-22	False	-59.5
34	shift_jis	47	41	0x595d8	.possible to deactivate the detonation code by	.possivel desativar o codigo de detonacao	-6	False	-12.8
35	shift_jis	50	64	0x59608	1using the detonation code emergency override key	1usando a chave de anulacao de detonacao mantida	14	True	28.0
36	shift_jis	49	57	0x5963b	0held by ArmsTech President Kenneth Baker who is	0pelo Presidente da ArmsTech Baker que esta	0	True	16.3
37	shift_jis	53	53	0x596a1	4after that, he dies from a heart attack. Snake must	4atras disso, ele morre de infarto. Snake deve	0	False	0.0
38	shift_jis	49	44	0x596d7	0try to rescue Baker who is trapped on the other	0tentar resgatar Baker que ta preso do outro	-7	False	-10.2
39	shift_jis	44	39	0x59709	+side of the cemented wall on the 2nd floor	+lado da parede cimentada no subsolo-2	-5	False	-11.4
40	shift_jis	30	21	0x59736	basement of the tank hangar.	do hangar de tanques.	-9	False	-30.0
41	shift_jis	52	56	0x598bd	3held by ArmsTech President Kenneth Baker. However,	3mantida pelo Presidente da ArmsTech Baker.Porem,	-4	True	7.7
42	shift_jis	54	53	0x598f2	5right after that, he dies from a heart attack. Snake	5logo depois disso ele morre de infarto.Snake	-1	False	-1.9
43	shift_jis	48	43	0x59929	/must try to rescue Baker who is trapped on the	/deve tentar resgatar Baker q ta preso do	-7	False	-10.4
44	shift_jis	50	45	0x5995a	1other side of the cemented wall on the 2nd floor	1outro lado da parede cimentada no subsolo-2	-5	False	-10.0
45	shift_jis	44	51	0x599e7	+Snake saves President Baker from FOX-HOUND	+Snake salva Baker do membro FOX-HOUND	-6	True	15.9
46	shift_jis	49	29	0x59a14	0member Revolver Ocelot. However, he has already	0Revolver Ocelot.Porem ele ja	-20	False	-40.8
47	shift_jis	48	45	0x59a46	/given away the detonation code. The only thing	/entregou o codigo de detonacao.A unica coisa	-3	False	-6.2
48	shift_jis	52	46	0x59a77	3that can stop the launch of the nuclear warhead is	3q pode parar o lancamento da ogiva nuclear eh	-6	False	-11.5
49	shift_jis	48	51	0x59ade	/by Meryl, or Metal Gear chief engineer Dr. Hal	/por Meryl ou engenheiro do Metal Gear Dr.Hal	-3	True	6.2
50	shift_jis	11	9	0x59b0f	Emmerich.	Emmerich.	-2	False	-18.2
51	shift_jis	48	45	0x59b1b	/After talking to Snake, Baker also dies from a	/Depois de falar com Snake Baker tbm morre de	-3	False	-6.2
52	shift_jis	51	54	0x59b4c	2heart attack. Snake refers to the Codec frequency	2infarto.Snake se refere ao do Codec	-7	True	5.9
53	shift_jis	49	38	0x59b80	0on the back of the CD case and tries contacting	0atras da caixa do CD e tenta contatar	-11	False	-22.4
54	shift_jis	8	6	0x59bb2	Meryl.	Meryl.	-2	False	-25.0
55	shift_jis	46	32	0x59bf9	-Snake rescues Baker, but just like the DARPA	-Snake resgata Baker mas igual o	-14	False	-30.4
56	shift_jis	52	59	0x59c28	3chief, he dies from a heart attack. The terrorists	3chefe da DARPA ele morre d infarto.Os terroristas	-1	True	13.5
57	shift_jis	47	48	0x59c5d	.already know Baker's detonation code as well.	.ja conhecem o codigo de detonacao do Baker.	-4	True	2.1
58	shift_jis	48	43	0x59c8d	/The only thing that can stop the launch of the	/A unica coisa q pode parar o lancamento da	-5	False	-10.4
59	shift_jis	50	51	0x59cbe	1nuclear warhead is the detonation code emergency	1ogiva nuclear eh a chave de anulacao do codigo	-2	True	2.0
60	shift_jis	49	61	0x59cf1	0override key held by Meryl, or Metal Gear chief	0de detonacao mantida por Meryl ou eng. chefe	12	True	24.5
61	shift_jis	48	45	0x59d23	/engineer Dr. Hal Emmerich. Snake, successfully	/do Metal Gear Dr.Hal Emmerich.Snake consegue	-3	False	-6.2
62	shift_jis	52	36	0x59d54	3contacting Meryl, has decided to go to the nuclear	3contatar Meryl decidiu ir ao predio	-16	False	-30.8
63	shift_jis	49	51	0x59d89	0warhead storage building to rescue Dr. Emmerich	0de armazenamento de ogivas p/ resgatar Emmerich	-1	True	4.1
64	shift_jis	52	46	0x59dbb	3as soon as Meryl opens the door on the first floor	3assim q Meryl abrir a porta no primeiro andar	-6	False	-11.5
65	shift_jis	34	31	0x59df0	!to the north of the tank hangar.	!ao norte do hangar de tanques.	-3	False	-8.8
66	shift_jis	53	46	0x59fa9	4contacting Meryl, opens the door on the first floor	4contatar Meryl abre a porta no primeiro andar ao	-7	False	-13.2
67	shift_jis	48	48	0x59fdf	/to the north of the tank hangar with her help.	/norte do hangar de tanques com a ajuda dela.	0	False	0.0
68	shift_jis	47	38	0x5a010	.To rescue Dr. Emmerich, Snake goes out of the	.P/ resgatar Dr.Emmerich Snake sai da saida	-9	False	-19.1
69	shift_jis	46	49	0x5a040	-cargo exit and heads for the nuclear warhead	-de carga e vai p/ predio d armazenamento	0	True	6.5
70	shift_jis	28	19	0x5a06f	storage building up north.	de ogivas ao norte.	-9	False	-32.1
71	latin-1	37	16	0x5a097	@j`fVoVoPePlPrPd	@j`fVoVoPePlPrPd	-21	False	-56.8
72	shift_jis	24	23	0x5a1f1	engineer Dr. Emmerich.	Eng. Dr. Emmerich.	-1	False	-4.2
73	shift_jis	54	42	0x5a20a	5Snake, with the help of Meryl, heads for the nuclear	5Snake com a ajuda de Meryl vai pro predio	-12	False	-22.2
74	shift_jis	50	52	0x5a241	1warhead storage building to rescue Dr. Emmerich.	1de armazenamento de ogivas p/ resgatar Emmerich.	-1	True	4.0
75	shift_jis	50	44	0x5a274	1However, the valley which is the only way to get	1Porem o vale q eh o unico caminho p/ chegar	-6	False	-12.0
76	shift_jis	49	46	0x5a2a7	0there turned out to be a minefield. Snake tries	0la se revelou ser um campo minado.Snake tenta	-3	False	-6.1
77	shift_jis	29	26	0x5a2d9	to go across the minefield.	atravessar o campo minado.	-3	False	-10.3
78	shift_jis	51	42	0x5a4df	2In the meantime, Snake finds out of the existence	2Enquanto isso Snake descobre a existencia do	-9	False	-17.6
79	shift_jis	52	65	0x5a513	3of a minefield through a call from a man who calls	3campo minado devido o aviso de alguem que se chama	13	True	25.0
80	shift_jis	50	36	0x5a548	1himself Deepthroat. Snake tries to go across the	1Deepthroat. Snake tenta atravessar o campo	-14	False	-28.0
81	shift_jis	12	13	0x5a57b	minefield.	minado.	0	True	8.3
82	shift_jis	47	46	0x5a5c0	.Snake must try to rescue the Metal Gear chief	.Snake deve tentar resgatar o engenheiro chefe	-1	False	-2.1
83	shift_jis	51	54	0x5a5f0	2engineer Dr. Hal Emmerich to find out how to stop	2do M. Gear, Dr. Emmerich, p/ descobrir como parar	0	True	5.9
84	shift_jis	51	48	0x5a624	2the nuclear launch. With the help of Meryl, Snake	2o lancamento nuclear. Com a ajuda de Meryl, Snake	-3	False	-5.9
85	shift_jis	45	40	0x5a658	,gets through the tank hangar to the valley.	,passa pelo hangar de tanques ate o vale.	-5	False	-11.1
86	shift_jis	43	40	0x5a686	*However FOX-HOUND member Vulcan Raven and	*Porem o membro FOX-HOUND Vulcan Raven e	-3	False	-7.0
87	shift_jis	47	53	0x5a6b2	.his M1 tank were waiting for him. Dodging the	.seu tanque M1 estavam esperando.Desviando do	-2	True	12.8
88	shift_jis	52	49	0x5a6e2	3attack of the tank cannon and destroying the tank,	3ataque do canhao do tanque e destruindo o tanque,	-3	False	-5.8
89	shift_jis	44	38	0x5a717	+Snake succeeds in infiltrating the nuclear	+Snake consegue se infiltrar no predio	-6	False	-13.6
90	shift_jis	48	42	0x5a744	/warhead storage building. He heads for the 2nd	/de armazenamento de ogivas.Ele vai pro	-6	False	-12.5
91	shift_jis	47	37	0x5a775	.floor basement where Dr. Emmerich is trapped.	.subsolo-2 onde Dr.Emmerich ta preso.	-12	False	-21.3
92	shift_jis	46	60	0x5a7e3	-Snake must try to rescue of Metal Gear chief	-Snake deve resgatar o eng. chefe do M. Gear	14	True	30.4
93	shift_jis	49	47	0x5a846	0the nuclear launch. Snake gets to the 2nd floor	0o lancamento nuclear.Snake chega ao subsolo-2	-2	False	-4.1
94	shift_jis	50	47	0x5a878	1basement of the nuclear warhead storage building	1do predio de armazenamento de ogivas nucleares	-3	False	-6.0
95	shift_jis	48	43	0x5a8ab	/where Dr. Emmerich is trapped. However a floor	/onde Dr.Emmerich ta preso.Porem um andar	-7	False	-10.4
96	shift_jis	53	63	0x5a8dc	4with high voltage electric currents blocks his way.	4com correntes eletricas bloqueia seu caminho.	-7	True	18.9
97	shift_jis	48	46	0x5a912	/The electric current is controlled by the high	/A corrente eletrica eh controlada pelo quadro	-2	False	-4.2
98	shift_jis	51	39	0x5a943	2voltage switchboard, which is in the northwest of	2de alta voltagem q fica a noroeste do	-12	False	-23.5
99	shift_jis	48	56	0x5a977	/the nuclear warhead storage building 2nd floor	/andar-2 do predio de armazenamento de ogivas	-2	True	16.7
