id	encoding	offset	tamanho_bytes	texto	texto_traduzido	tamanho_bytes_traduzido	diferenca_bytes	tem_overflow	percentual_diferenca
70	latin-1	0x1e4b64	44	We'll approach the disposal|facility by sub.	A aproximacao da instalacao|de descarte sera por submarino	58	14	True	31.8
165	latin-1	0x407738	39	add genetic characteristics|as desired.	adicionar caracteristicas|geneticas conforme desejado	53	14	True	35.9
3282	shift_jis	0xaa6d878	68	Those mice are Alaskan field mice. Don't worry. They can't hurt you.	Aqueles ratos sao ratos de campo do Alasca. Nao se preocupe. Nao podem te machucar	82	14	True	20.6
3345	shift_jis	0xae39138	87	That's name rank serial number and date of birth. But you're not any old soldier Snake.	Isso eh: nome, patente, numero de serie, e data de nascimento. Mas vc nao eh um soldado comum Snake	99	12	True	13.8
247	latin-1	0x7252ec	40	She's also an expert|on hi tech weapons.	Ela tbm eh especialista|em armas de alta tecnologia	51	11	True	27.5
1851	shift_jis	0x5619888	104	In any case, you should contact Meryl by Codec. Wasn't her frequency written on the back of the CD case?	De qualquer forma, vc deveria contatar a Meryl por Codec. A frequencia dela nao estava escrita atras da capa do CD?	115	11	True	10.6
1858	shift_jis	0x5659890	121	Rescuing that Metal Gear engineer is now your primary goal. When Meryl opens up the cargo door, I want you to head north.	Resgatar aquele engenheiro do Metal Gear eh agora seu objetivo primario. Quando a Meryl abrir a porta de carga, quero q va pro norte	132	11	True	9.1
2036	shift_jis	0x5f62870	52	Ask Dr. Emmerich where the Night-Vision Goggles are.	Pergunte pro Dr. Emmerich onde estao os Oculos de Visao Noturna	63	11	True	21.2
2317	shift_jis	0x6c74250	57	I just let them kill Meryl to save my own worthless hide!	Acabei de deixar eles matarem a Meryl pra salvar minha propria pele!	68	11	True	19.3
2348	shift_jis	0x6e51968	125	That means the side with greater numbers is usually the winner. You're badly outnumbered Snake...try not to let them see you.	Isso significa q o lado com maior numero geralmente eh o vencedor. Vc esta em desvantagem numerica Snake..tente nao deixar eles te verem	136	11	True	8.8
2385	shift_jis	0x7135910	137	That's from Henry IV. Snake, you'd better take that cold medicine and start feeling better. The success of this mission may depend on it.	Isso eh de Henrique IV. Snake, eh melhor tomar aquele remedio pra resfriado e comecar a se sentir melhor. O sucesso desta missao pode depender disso	148	11	True	8.0
2425	shift_jis	0x7349ac0	128	But I didn't want to kill people. That's when I heard that the US Air Force needed people to do BDAs, battle damage assessments.	Mas nao queria matar pessoas. Foi quando ouvi q a Forca Aerea Americana precisava de pessoas pra fazer BDAs, avaliacoes de danos de batalha	139	11	True	8.6
2524	shift_jis	0x79db208	56	Both were Third World countries led by military regimes.	Ambos eram paises do Terceiro Mundo liderados por regimes militares	67	11	True	19.6
2709	shift_jis	0x87feb00	44	...probably spent nuclear fuel or something.	..provavelmente combustivel nuclear gasto ou algo assim	55	11	True	25.0
2749	shift_jis	0x8b2e1f4	78	Nukes are designed to kill tens of thousands of innocent civilians in a flash.	Armas nucleares sao projetadas pra matar dezenas de milhares de civis inocentes num flash	89	11	True	14.1
2770	shift_jis	0x8cda4f4	113	I used to work in the DIA (Defense Intelligence Agency). I figured the only way to achieve nuclear elimination...	Eu costumava trabalhar na DIA (Agencia de Inteligencia de Defesa). Eu pensei q a unica forma de alcancar eliminacao nuclear.	124	11	True	9.7
2821	shift_jis	0x90c3130	133	That's a Chaff Grenade. It's a special grenade that disperses thin narrow metallic strips of various lengths and frequency responses.	Essa eh uma Granada Chaff. Eh uma granada especial q dispersa tiras metalicas finas e estreitas de varios comprimentos e respostas de frequencia	144	11	True	8.3
2868	shift_jis	0x93ecae0	91	Traditionally claymores use a trip wire to set them off but those claymores are a new type.	Tradicionalmente claymores usam um fio de armadilha pra ativa-las mas essas claymores sao um novo tipo	102	11	True	12.1
2887	shift_jis	0x952e2e0	85	Press the First Person View Button to see the missile's visual data. Use them wisely.	Aperte o Botao de Visao em Primeira Pessoa pra ver os dados visuais do missil. Use-os sabiamente	96	11	True	12.9
2901	shift_jis	0x9682948	60	Powered exoskeleton? You mean like prosthetic arms and legs?	Exoesqueleto motorizado? Vc quer dizer tipo bracos e pernas proteticos?	71	11	True	18.3
3032	shift_jis	0x9e2c890	138	The cargo door's open already. If you exit there and go north you'll get to the Warhead Storage Building where Dr. Emmerich is being held.	A porta de carga ja esta aberta. Se vc sair por la e for ao norte chegara ao Predio de Armazenamento de Ogivas onde o Dr. Emmerich esta sendo mantido	149	11	True	8.0
3035	shift_jis	0x9e598b0	112	Snake where are you going? The Warhead Storage Building is north. I can't believe it... Solid Snake is lost.....	Snake onde vc esta indo? O Predio de Armazenamento de Ogivas eh ao norte. Nao posso acreditar.. Solid Snake esta perdido...	123	11	True	9.8
3108	shift_jis	0xa1de924	56	You'll have to find somewhere you can be alone with her.	Vc vai ter q encontrar algum lugar onde possa ficar sozinho com ela	67	11	True	19.6
3285	shift_jis	0xaa7c220	51	Survival specialists huh. I should learn from them.	Especialistas em sobrevivencia hein. Deveria aprender com eles	62	11	True	21.6
3315	shift_jis	0xac438ec	69	First the DARPA Chief and then President Baker die of a heart attack?	Primeiro o Chefe da DARPA e depois o Presidente Baker morrem de ataque cardiaco?	80	11	True	15.9
3326	shift_jis	0xacf3074	55	Meryl must be hiding somewhere in there. Search around.	Meryl deve estar se escondendo em algum lugar la. Procure ao redor	66	11	True	20.0
3328	shift_jis	0xacfe92c	47	You should hurry the time limit is running out.	Vc deveria se apressar o limite de tempo esta se esgotando	58	11	True	23.4
